Date,High,Low,Open,Close,Volume,Adj Close,prevclose,direction,daily_range,3-day MA
2017-10-04,358.6199951171875,349.6000061035156,351.25,355.010009765625,8163500,355.010009765625,348.1400146484375,Up,3.760009765625,348.22667439778644
2017-10-05,357.44000244140625,351.3500061035156,356.0,355.3299865722656,4171700,355.3299865722656,355.010009765625,Up,-0.670013427734375,352.82667032877606
2017-10-06,360.1000061035156,352.25,353.1000061035156,356.8800048828125,4297500,356.8800048828125,355.3299865722656,Up,3.779998779296875,355.74000040690106
2017-10-10,355.6300048828125,345.5299987792969,346.79998779296875,355.5899963378906,6978500,355.5899963378906,342.94000244140625,Up,8.790008544921875,355.93332926432294
2017-10-12,359.7799987792969,352.6400146484375,352.95001220703125,355.67999267578125,4087000,355.67999267578125,354.6000061035156,Up,2.72998046875,356.0499979654948
2017-10-17,356.2200012207031,350.07000732421875,350.9100036621094,355.75,3293300,355.75,350.6000061035156,Up,4.839996337890625,355.67332967122394
2017-10-18,363.0,354.1300048828125,355.9700012207031,359.6499938964844,4939100,359.6499938964844,355.75,Up,3.67999267578125,357.0266621907552
2017-10-24,342.79998779296875,336.1600036621094,338.79998779296875,337.3399963378906,4491700,337.3399963378906,337.0199890136719,Up,-1.459991455078125,350.913330078125
2017-10-26,330.2300109863281,323.20001220703125,327.7799987792969,326.1700134277344,5023500,326.1700134277344,325.8399963378906,Up,-1.6099853515625,341.05333455403644
2017-10-31,331.95001220703125,320.17999267578125,320.2300109863281,331.5299987792969,5672300,331.5299987792969,320.0799865722656,Up,11.29998779296875,331.6800028483073
2017-11-03,306.25,295.1300048828125,299.5,306.0899963378906,8894000,306.0899963378906,299.260009765625,Up,6.589996337890625,321.2633361816406
2017-11-07,306.5,300.0299987792969,301.0199890136719,306.04998779296875,5294300,306.04998779296875,302.7799987792969,Up,5.029998779296875,314.55666097005206
2017-11-13,316.79998779296875,299.1099853515625,300.1300048828125,315.3999938964844,7584900,315.3999938964844,302.989990234375,Up,15.269989013671875,309.17999267578125
2017-11-15,312.489990234375,301.5,306.010009765625,311.29998779296875,5978700,311.29998779296875,308.70001220703125,Up,5.28997802734375,310.9166564941406
2017-11-16,318.1400146484375,311.29998779296875,313.989990234375,312.5,5822100,312.5,311.29998779296875,Up,-1.489990234375,313.06666056315106
2017-11-17,326.6700134277344,313.1499938964844,325.6700134277344,315.04998779296875,13735100,315.04998779296875,312.5,Up,-10.620025634765625,312.9499918619792
2017-11-21,318.2300109863281,308.7099914550781,310.8599853515625,317.80999755859375,7261300,317.80999755859375,308.739990234375,Up,6.95001220703125,315.1199951171875
2017-11-24,316.4100036621094,311.0,313.7900085449219,315.54998779296875,3244100,315.54998779296875,312.6000061035156,Up,1.759979248046875,316.13665771484375
2017-11-27,317.3399963378906,309.510009765625,313.25,316.80999755859375,4555900,316.80999755859375,315.54998779296875,Up,3.55999755859375,316.72332763671875
2017-11-28,320.0,313.9200134277344,316.3599853515625,317.54998779296875,4949500,317.54998779296875,316.80999755859375,Up,1.19000244140625,316.63665771484375
2017-11-30,310.70001220703125,304.5400085449219,308.55999755859375,308.8500061035156,4351600,308.8500061035156,307.5400085449219,Up,0.290008544921875,314.40333048502606
2017-12-06,313.3900146484375,300.0,300.1000061035156,313.260009765625,7195300,313.260009765625,303.70001220703125,Up,13.160003662109375,313.2200012207031
2017-12-08,316.9800109863281,311.260009765625,314.6000061035156,315.1300048828125,3468500,315.1300048828125,311.239990234375,Up,0.529998779296875,312.41334025065106
2017-12-11,329.010009765625,313.75,314.6300048828125,328.9100036621094,7938000,328.9100036621094,315.1300048828125,Up,14.279998779296875,319.1000061035156
2017-12-12,341.44000244140625,330.0299987792969,330.45001220703125,341.0299987792969,8733200,341.0299987792969,328.9100036621094,Up,10.579986572265625,328.35666910807294
2017-12-15,343.8999938964844,335.760009765625,342.0400085449219,343.45001220703125,6933200,343.45001220703125,337.8900146484375,Up,1.410003662109375,337.7966715494792
2017-12-21,333.739990234375,327.2099914550781,329.5899963378906,331.6600036621094,4385200,331.6600036621094,328.9800109863281,Up,2.07000732421875,338.7133382161458
2017-12-28,315.82000732421875,309.5400085449219,311.75,315.3599853515625,4316300,315.3599853515625,311.6400146484375,Up,3.6099853515625,330.1566670735677
2018-01-02,322.1099853515625,311.0,312.0,320.5299987792969,4352200,320.5299987792969,311.3500061035156,Up,8.529998779296875,322.51666259765625
2018-01-05,317.239990234375,312.0,316.6199951171875,316.5799865722656,4591200,316.5799865722656,314.6199951171875,Up,-0.040008544921875,317.489990234375
2018-01-08,337.0199890136719,315.5,316.0,336.4100036621094,9859400,336.4100036621094,316.5799865722656,Up,20.410003662109375,324.5066630045573
2018-01-10,337.0,330.0,332.20001220703125,334.79998779296875,4309900,334.79998779296875,333.69000244140625,Up,2.5999755859375,329.26332600911456
2018-01-11,344.80999755859375,333.260009765625,335.239990234375,337.95001220703125,6645500,337.95001220703125,334.79998779296875,Up,2.71002197265625,336.3866678873698
2018-01-16,345.0,334.79998779296875,337.5400085449219,340.05999755859375,6474300,340.05999755859375,336.2200012207031,Up,2.519989013671875,337.60333251953125
2018-01-17,349.0,339.75,340.4700012207031,347.1600036621094,7103500,347.1600036621094,340.05999755859375,Up,6.69000244140625,341.7233378092448
2018-01-19,350.5899963378906,342.6000061035156,345.0,350.0199890136719,4888300,350.0199890136719,344.57000732421875,Up,5.019989013671875,345.7466634114583
